"SUBMITTER_NAME","DOW","SURVEY_START","RAKE_MAX","SUBMIT_TIME","SURVEYORS","sta_nbr","depth_ft","ceratophyllum_demersum","potamogeton_crispus","latitude","longitude","chara_sp","elodea_canadensis","potamogeton_sp","nitella_sp","elodea_sp","potamogeton_pusillus","stuckenia_pectinata","wolffia_sp","substrate","lemna_minor","phalaris_arundinacea","potamogeton_zosteriformis","spirodela_polyrrhiza","wolffia_columbiana","algae","myriophyllum_spicatum","heteranthera_dubia","najas_flexilis","nymphaea_odorata","potamogeton_foliosus","zannichellia_palustris","lemna_trisulca","najas_sp","potamogeton_richardsonii","unk_sp","nuphar_advena","lake_name","nelumbo_lutea","typha_sp","no_veg_found","potamogeton_obtusifolius","potamogeton_epihydrus","algae.1","nuphar_sp","nymphaea_sp","eleocharis_sp","poaceae_taxa","potamogeton_sp.1","spirodela_polyrrhiza.1"
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","28","2.1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","29","1.1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","30","2.2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","31","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"1","3",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","32","3.5","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,"2",NA,"1",NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","33","4.4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"2",NA,NA,"0",NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","34","3.3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","35","2.1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"1","3",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","36","2.9","2",NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"3",NA,NA,NA,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","37","2.3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"5","4",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","38","2.6","5",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","39","2.9","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"4",NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","40","3.7","4",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1","4",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","41","5.3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","42","5.1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","43","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,"62000600",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","44","4.5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1",NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","45","5.1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","46","7.2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","47","5.1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","48","4.1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,"62000600",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","49","4.1","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","50","5.8","5",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"3",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","51","4.7","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","52","3.8","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","53","2.3","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","54","4.1","5",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"3",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","55","4.5","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1","1",NA,NA,NA,"0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","56","3.8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","57","2.2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1",NA,NA,NA,"62000600",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","58","2.9","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"62000600",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","59","1.2","1",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"4",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","60","1","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","61","2.3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"4",NA,NA,"4",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","62","2.1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"2",NA,NA,"2",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","64","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","65","2.3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","66","2.6","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"3",NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","67","2.9","4",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"2",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"3",NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","68","2.4","5",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"3",NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","69","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","70","2.3","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"2",NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","71","3.4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"3",NA,NA,"3",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","72","3.1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"4",NA,NA,"4",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
